[2023-06-12T00:41:37] T = 200000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.3 | Avg. Q: -6.744825939204544 | Avg. Overlap: 0.027023451407323186
[2023-06-12T00:42:57] T = 225000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.9 | Avg. Q: -6.582100205834955 | Avg. Overlap: 0.03653849921074582
[2023-06-12T00:44:17] T = 250000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.4 | Avg. Q: -6.532013270344585 | Avg. Overlap: 0.029176645433343328
[2023-06-12T00:45:37] T = 275000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.5 | Avg. Q: -6.4931722350493075 | Avg. Overlap: 0.047503896803150925
[2023-06-12T00:46:56] T = 300000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.9 | Avg. Q: -6.525714845702052 | Avg. Overlap: 0.03490773769676568
[2023-06-12T00:48:16] T = 325000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.8 | Avg. Q: -6.47015435668081 | Avg. Overlap: 0.030662139219015283
[2023-06-12T00:49:35] T = 350000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.1 | Avg. Q: -6.4401192178949715 | Avg. Overlap: 0.03634925735367561
[2023-06-12T00:50:55] T = 375000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.3 | Avg. Q: -6.278282690096646 | Avg. Overlap: 0.027423368862581628
[2023-06-12T00:52:14] T = 400000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.3 | Avg. Q: -6.272805547438562 | Avg. Overlap: 0.042704957740672025
[2023-06-12T00:53:35] T = 425000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.5 | Avg. Q: -6.398053216990084 | Avg. Overlap: 0.03089693073065205
[2023-06-12T00:54:55] T = 450000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -16.3 | Avg. Q: -6.110474488444626 | Avg. Overlap: 0.11011924721883952
[2023-06-12T00:56:15] T = 475000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.2 | Avg. Q: -6.22968121066317 | Avg. Overlap: 0.024873875849967097
[2023-06-12T00:57:33] T = 500000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.0 | Avg. Q: -6.1155797170028094 | Avg. Overlap: 0.021261441647597253
[2023-06-12T00:58:52] T = 525000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.1 | Avg. Q: -6.1804538175165655 | Avg. Overlap: 0.04349272020256827
[2023-06-12T01:00:10] T = 550000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.6 | Avg. Q: -6.326327634721994 | Avg. Overlap: 0.03290761358283169
[2023-06-12T01:01:29] T = 575000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -3.3 | Avg. Q: -6.290947745498269 | Avg. Overlap: 0.06591009044568845
[2023-06-12T01:02:48] T = 600000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.7 | Avg. Q: -6.236780069559813 | Avg. Overlap: 0.014583333333333332
[2023-06-12T01:04:07] T = 625000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.1 | Avg. Q: -6.121598103471101 | Avg. Overlap: 0.00202020202020202
[2023-06-12T01:05:26] T = 650000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.1 | Avg. Q: -6.131024238541722 | Avg. Overlap: 0.020430477720610272
[2023-06-12T01:06:45] T = 675000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.3 | Avg. Q: -6.13952349846065 | Avg. Overlap: 0.02628324056895486
[2023-06-12T01:08:05] T = 700000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.6 | Avg. Q: -5.952888391003013 | Avg. Overlap: 0.012162865771113193
[2023-06-12T01:09:24] T = 725000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.0 | Avg. Q: -5.895496109183878 | Avg. Overlap: 0.020494074477486614
[2023-06-12T01:10:42] T = 750000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.1 | Avg. Q: -5.953471438072622 | Avg. Overlap: 0.03885314334733517
